Wall time,Step,Value
1680379976.88467,5120,4.0
1680380039.8250384,19456,4.0
1680380133.0860355,41984,4.0
1680380166.2687109,49152,4.0
1680380236.827736,64512,4.0
1680380241.6156297,65536,4.0
1680380277.5157213,73728,4.0
1680380303.2614872,79872,4.0
1680380322.7753232,84992,4.0
1680380355.7871952,92160,4.0
1680380419.1110058,106496,4.0
1680380438.3303266,110592,4.0
1680380504.355232,124928,4.0
1680380536.5538023,132096,4.0
1680380546.306072,134144,4.0
1680380673.0257034,161792,4.0
1680380687.6098838,164864,4.0
1680380698.03547,166912,4.0
1680380707.2299354,168960,4.0
1680380745.5566468,177152,4.0
1680380833.610509,196608,4.639999866485596
1680380889.6807077,208896,4.420000076293945
1680380899.6162663,210944,4.590000152587891
1680381003.9719622,235520,4.400000095367432
1680381067.5180995,250880,4.539999961853027
1680381072.1918967,251904,4.550000190734863
1680381137.7061698,266240,4.53000020980835
1680381194.08954,278528,4.519999980926514
1680381206.6846435,281600,4.590000152587891
1680381239.5818944,289792,4.590000152587891
1680381253.253193,292864,4.480000019073486
1680381297.5474179,303104,4.46999979019165
1680381391.7946706,324608,4.550000190734863
1680381404.4328873,327680,4.46999979019165
1680381418.955928,330752,4.510000228881836
1680381527.8528912,355328,4.579999923706055
1680381582.3816657,367616,4.480000019073486
1680381609.3332908,373760,4.550000190734863
1680381619.413302,375808,4.489999771118164
1680381666.9230924,388096,4.619999885559082
1680381699.8922482,396288,4.639999866485596
1680381716.3872159,400384,4.5
1680381769.2532566,412672,4.559999942779541
1680381830.238984,425984,4.539999961853027
1680381859.6998017,433152,4.519999980926514
1680381924.1125689,447488,5.480000019073486
1680381929.138581,448512,5.539999961853027
1680381939.949164,450560,5.710000038146973
1680381970.1765015,457728,5.659999847412109
1680382048.4430652,473088,5.630000114440918
1680382065.5091496,477184,5.599999904632568
1680382116.6326,487424,5.519999980926514
1680382140.007465,492544,5.820000171661377
1680382145.1546068,493568,5.75
1680382175.2553942,499712,5.619999885559082
1680382294.1318765,523264,5.570000171661377
1680382304.3391078,525312,5.550000190734863
1680382309.7295475,526336,5.670000076293945
1680382329.887639,530432,5.579999923706055
1680382408.3497546,546816,5.630000114440918
1680382431.8137822,551936,5.690000057220459
1680382441.2968168,553984,5.659999847412109
1680382503.505125,566272,5.519999980926514
1680382522.130985,570368,5.760000228881836
1680382551.4369442,576512,5.730000019073486
1680382682.4240246,605184,5.590000152587891
1680382702.9296663,609280,5.659999847412109
1680382713.7113876,611328,5.369999885559082
1680382870.9460413,644096,5.559999942779541
1680382875.930256,645120,5.510000228881836
1680382913.0968335,653312,5.639999866485596
1680382938.7291665,659456,5.539999961853027
1680382944.1174302,660480,5.480000019073486
1680383014.8541396,674816,5.690000057220459
1680383060.863087,684032,5.510000228881836
1680383098.8658164,692224,5.71999979019165
1680383193.5225353,711680,5.679999828338623
1680383322.4403164,739328,5.519999980926514
1680383342.3735285,743424,5.639999866485596
1680383438.3830354,762880,5.480000019073486
1680383541.3620539,783360,5.389999866485596
1680383596.0155516,794624,5.710000038146973
1680383600.1713054,795648,5.710000038146973
1680383628.3387964,801792,5.960000038146973
1680383658.554305,807936,5.619999885559082
1680383734.0361397,824320,5.5
1680383737.416172,825344,5.510000228881836
1680383745.5179396,827392,5.679999828338623
1680383804.744965,839680,5.659999847412109
1680383868.3991227,852992,5.46999979019165
1680383985.9933474,878592,5.480000019073486
1680384027.492085,887808,5.760000228881836
1680384053.565381,892928,5.590000152587891
1680384123.3743465,908288,5.429999828338623
1680384167.752516,919552,5.5
1680384185.2361026,923648,5.449999809265137
1680384323.6594362,953344,5.619999885559082
1680384383.5718992,965632,5.53000020980835
1680384418.3757613,972800,5.46999979019165
1680384651.1940968,1024000,5.619999885559082
1680384664.8862803,1027072,5.690000057220459
1680384676.211786,1029120,5.610000133514404
1680384731.10395,1040384,5.550000190734863
1680384767.9262729,1047552,5.480000019073486
1680384787.088589,1051648,5.550000190734863
1680384796.916086,1053696,5.429999828338623
1680384839.8332999,1062912,5.46999979019165
1680384935.2237935,1082368,5.420000076293945
1680385004.4570835,1096704,5.610000133514404
1680385008.4725718,1097728,5.639999866485596
1680385016.9511564,1099776,5.630000114440918
1680385035.2214992,1103872,5.420000076293945
1680385075.7631211,1113088,5.519999980926514
1680385137.3371565,1125376,5.460000038146973
1680385158.377168,1129472,5.619999885559082
1680385168.7712917,1131520,5.679999828338623
1680385192.7955067,1136640,5.550000190734863
1680385202.720243,1138688,5.619999885559082
