Wall time,Step,Value
1676536242.956264,2560,-1.2694276571273804
1676536250.2764778,10240,-1.268642544746399
1676536254.2443268,12800,-1.0811147689819336
1676536289.9452636,28160,-0.490884393453598
1676536295.889155,30720,-0.4708543121814728
1676536312.5914967,38400,-0.4728732109069824
1676536317.4674199,40960,-0.5279784202575684
1676536330.996134,48640,-0.4967622458934784
1676536335.4045954,51200,-0.5535941123962402
1676536339.4586644,53760,-0.5945177674293518
1676536347.567675,58880,-0.485720157623291
1676536352.0559895,61440,-0.49722254276275635
1676536363.6295083,69120,-0.6359984874725342
1676536367.7835073,71680,-0.5877872705459595
1676536391.0070553,87040,-0.43045946955680847
1676536399.4020808,94720,-0.3734603524208069
1676536402.1700897,97280,-0.3555539846420288
1676536405.2552643,99840,-0.3454726040363312
1676536409.419527,102400,-0.38518568873405457
1676536413.2878635,104960,-0.39417168498039246
1676536442.7934573,122880,-0.527682900428772
1676536446.352254,125440,-0.5105916857719421
1676536450.1733823,128000,-0.45502281188964844
1676536457.9192202,133120,-0.3975236117839813
1676536461.8724046,135680,-0.43205562233924866
1676536469.9348383,140800,-0.3610897958278656
1676536479.6877468,148480,-0.6069780588150024
1676536489.9912174,156160,-0.584464967250824
1676536493.246715,158720,-0.5127122402191162
1676536497.1410372,161280,-0.44924670457839966
1676536500.7214444,163840,-0.46572279930114746
1676536507.5252628,168960,-0.5568185448646545
1676536511.1228926,171520,-0.5547482967376709
1676536514.282979,174080,-0.5778993964195251
1676536517.82281,176640,-0.377941757440567
1676536525.194193,181760,-0.509024441242218
1676536528.5782723,184320,-0.5417802929878235
1676536550.3483062,199680,-0.4900737702846527
1676536557.8166802,204800,-0.4751482605934143
1676536561.3601966,207360,-0.4922826290130615
1676536568.7196722,212480,-0.3084402084350586
1676536572.4040308,215040,-0.37650641798973083
1676536579.8982348,220160,-0.3450189232826233
1676536583.5625181,222720,-0.3877098262310028
1676536594.742203,230400,-0.4427700638771057
1676536598.1607919,232960,-0.4791679084300995
1676536614.2749798,245760,-0.5253424048423767
1676536627.7659621,256000,-0.6147608757019043
1676536630.9212086,258560,-0.5608362555503845
1676536641.4903238,266240,-0.41480815410614014
1676536651.5947168,273920,-0.485831618309021
1676536654.7558846,276480,-0.5993719100952148
1676536661.5176728,281600,-0.4343980848789215
1676536677.8234465,294400,-0.3598007559776306
1676536684.3718896,299520,-0.6808878779411316
1676536701.6293268,312320,-0.3706800937652588
1676536715.5492637,322560,-0.40465736389160156
1676536718.941762,325120,-0.4218389093875885
1676536725.9474137,330240,-0.40379995107650757
1676536732.8598537,335360,-0.3446006178855896
1676536736.139596,337920,-0.5228018760681152
1676536739.8010464,340480,-0.562394380569458
1676536746.6967869,345600,-0.46762815117836
1676536753.8697815,350720,-0.41071557998657227
1676536757.3579185,353280,-0.5100725293159485
1676536778.283644,368640,-0.38438713550567627
1676536782.1599689,371200,-0.45079198479652405
1676536789.1558816,376320,-0.3841615617275238
1676536792.5480833,378880,-0.37470561265945435
1676536803.1000633,386560,-0.30396994948387146
1676536826.4367435,404480,-0.355712890625
1676536833.4382536,409600,-0.38506487011909485
1676536837.2468529,412160,-0.3899257779121399
1676536844.4249933,417280,-0.2874126434326172
1676536851.9441895,422400,-0.3363461196422577
1676536858.8728564,427520,-0.3638727068901062
1676536873.2672722,437760,-0.3911226987838745
1676536876.9510226,440320,-0.4336533546447754
1676536880.4539812,442880,-0.4040285646915436
1676536891.1795776,450560,-0.3618544042110443
1676536894.7212121,453120,-0.3465118706226349
1676536898.3544369,455680,-0.3444320857524872
1676536901.9155586,458240,-0.3107623755931854
1676536909.3660905,463360,-0.38142839074134827
1676536912.8506346,465920,-0.3850308656692505
1676536923.6474946,473600,-0.3007753789424896
1676536927.2272446,476160,-0.3588350713253021
1676536930.8906176,478720,-0.3553360104560852
1676536941.4665031,486400,-0.4406376779079437
1676536944.8467135,488960,-0.4461137056350708
1676536948.6047149,491520,-0.3019126355648041
1676536952.1398115,494080,-0.34689122438430786
1676536963.2211368,501760,-0.3765295147895813
1676536977.951718,512000,-0.34368273615837097
1676536981.5208607,514560,-0.39572280645370483
1676536988.712546,519680,-0.3142153024673462
1676536992.6790571,522240,-0.3509822487831116
1676536996.1628864,524800,-0.3797265291213989
1676536999.6567533,527360,-0.29927191138267517
1676537007.2152522,532480,-0.24372026324272156
1676537014.378475,537600,-0.31918540596961975
1676537021.6678958,542720,-0.33104217052459717
1676537028.968034,547840,-0.3538079857826233
1676537036.4386666,552960,-0.28206223249435425
1676537040.0691702,555520,-0.3921201229095459
1676537047.5076337,560640,-0.35224446654319763
1676537051.134682,563200,-0.27386102080345154
1676537054.6271229,565760,-0.3688574731349945
1676537058.1665995,568320,-0.3432055115699768
1676537061.950802,570880,-0.2966737449169159
1676537068.912815,576000,-0.320171058177948
1676537072.41897,578560,-0.2950424253940582
1676537086.952881,588800,-0.321860134601593
1676537107.4903047,604160,-0.32089969515800476
1676537114.4573226,609280,-0.29652366042137146
1676537118.3921535,611840,-0.27422910928726196
1676537122.0494325,614400,-0.3361722528934479
1676537129.2363958,619520,-0.3346687853336334
1676537133.074636,622080,-0.31191912293434143
1676537139.830804,627200,-0.3355344831943512
1676537143.3748798,629760,-0.2597638666629791
1676537147.3954973,632320,-0.3386998474597931
1676537151.1106775,634880,-0.3468146324157715
1676537170.2141263,647680,-0.30840861797332764
1676537174.2593427,650240,-0.41866499185562134
1676537177.8600988,652800,-0.31034499406814575
1676537188.5622318,660480,-0.3870876133441925
1676537192.0732012,663040,-0.43921029567718506
1676537195.7011492,665600,-0.3694596588611603
1676537199.2623637,668160,-0.2644442319869995
1676537206.9436827,673280,-0.30301982164382935
1676537237.105391,693760,-0.3498559296131134
1676537240.8813162,696320,-0.262605756521225
1676537252.0821342,704000,-0.29486924409866333
1676537255.6727407,706560,-0.3034728467464447
1676537259.2675052,709120,-0.32547321915626526
1676537266.962382,714240,-0.3200939893722534
1676537273.8136365,719360,-0.36151573061943054
1676537279.6317832,724480,-0.298288494348526
1676537283.360438,727040,-0.29684609174728394
1676537291.1264925,732160,-0.22871780395507812
1676537298.5997286,737280,-0.3601517975330353
1676537302.2607992,739840,-0.3298996686935425
1676537310.0193532,744960,-0.3408198356628418
1676537328.9466481,757760,-0.329453706741333
1676537333.0465846,760320,-0.3045639991760254
1676537336.8431034,762880,-0.3728102743625641
1676537340.4734237,765440,-0.6236943006515503
1676537344.3076782,768000,-0.27427077293395996
1676537363.305943,780800,-0.30086225271224976
1676537370.5754547,785920,-0.28756722807884216
1676537374.0968227,788480,-0.3868829309940338
1676537377.998194,791040,-0.37259650230407715
1676537381.7238026,793600,-0.3075564503669739
1676537393.1047013,801280,-0.28245535492897034
1676537396.8369646,803840,-0.41129270195961
1676537408.150687,811520,-0.2912798523902893
1676537415.591835,816640,-0.28369417786598206
