0	0	-119.093
0	1	-119.002
0	2	-118.93
0	3	-118.879
0	4	-118.848
0	5	-118.837
0	6	-118.848
0	7	-118.879
0	8	-118.93
0	9	-119.002
0	10	-119.093
0	11	-119.203
0	12	-119.332
0	13	-94.7028
0	14	-94.776
0	15	-94.8562
0	16	-94.9428
0	17	-95.0355
0	18	-95.1337
0	19	-95.2369
0	20	-95.3447
0	21	-95.4567
0	22	-95.5723
0	23	-95.6911
0	24	-95.8128
0	25	-95.9369
0	26	-96.0631
0	27	-96.191
0	28	-96.3205
0	29	-96.451
0	30	-96.5825
0	31	-96.7146
0	32	-96.8471
0	33	-96.9798
1	0	-118.519
1	1	-118.421
1	2	-118.345
1	3	-118.289
1	4	-118.256
1	5	-118.245
1	6	-118.256
1	7	-118.289
1	8	-118.345
1	9	-118.421
1	10	-118.519
1	11	-118.637
1	12	-118.775
1	13	-94.4557
1	14	-94.5338
1	15	-94.6193
1	16	-94.7115
1	17	-94.81
1	18	-94.9141
1	19	-95.0235
1	20	-95.1375
1	21	-95.2557
1	22	-95.3776
1	23	-95.5026
1	24	-95.6304
1	25	-95.7606
1	26	-95.8928
1	27	-96.0266
1	28	-96.1617
1	29	-96.2978
1	30	-96.4346
1	31	-96.5719
1	32	-96.7095
1	33	-96.8471
2	0	-117.926
2	1	-117.821
2	2	-117.738
2	3	-117.679
2	4	-117.643
2	5	-117.631
2	6	-117.643
2	7	-117.679
2	8	-117.738
2	9	-117.821
2	10	-117.926
2	11	-118.053
2	12	-118.2
2	13	-94.2012
2	14	-94.2847
2	15	-94.3759
2	16	-94.4742
2	17	-94.579
2	18	-94.6897
2	19	-94.8057
2	20	-94.9265
2	21	-95.0514
2	22	-95.1799
2	23	-95.3116
2	24	-95.446
2	25	-95.5826
2	26	-95.721
2	27	-95.861
2	28	-96.0021
2	29	-96.1439
2	30	-96.2864
2	31	-96.4291
2	32	-96.5719
2	33	-96.7146
3	0	-117.312
3	1	-117.199
3	2	-117.11
3	3	-117.046
3	4	-117.007
3	5	-116.994
3	6	-117.007
3	7	-117.046
3	8	-117.11
3	9	-117.199
3	10	-117.312
3	11	-117.449
3	12	-117.607
3	13	-93.9388
3	14	-94.0283
3	15	-94.1259
3	16	-94.2309
3	17	-94.3426
3	18	-94.4604
3	19	-94.5835
3	20	-94.7115
3	21	-94.8436
3	22	-94.9793
3	23	-95.1181
3	24	-95.2595
3	25	-95.4029
3	26	-95.548
3	27	-95.6944
3	28	-95.8418
3	29	-95.9897
3	30	-96.138
3	31	-96.2864
3	32	-96.4346
3	33	-96.5825
4	0	-116.677
4	1	-116.555
4	2	-116.458
4	3	-116.389
4	4	-116.347
4	5	-116.333
4	6	-116.347
4	7	-116.389
4	8	-116.458
4	9	-116.555
4	10	-116.677
4	11	-116.824
4	12	-93.5813
4	13	-93.6682
4	14	-93.7643
4	15	-93.8689
4	16	-93.9812
4	17	-94.1005
4	18	-94.2259
4	19	-94.3569
4	20	-94.4927
4	21	-94.6326
4	22	-94.776
4	23	-94.9224
4	24	-95.0711
4	25	-95.2218
4	26	-95.3739
4	27	-95.5271
4	28	-95.681
4	29	-95.8353
4	30	-95.9897
4	31	-96.1439
4	32	-96.2978
4	33	-96.451
5	0	-116.018
5	1	-115.886
5	2	-115.781
5	3	-115.706
5	4	-115.66
5	5	-115.645
5	6	-115.66
5	7	-115.706
5	8	-115.781
5	9	-115.886
5	10	-116.018
5	11	-116.177
5	12	-93.2952
5	13	-93.3889
5	14	-93.4923
5	15	-93.6047
5	16	-93.725
5	17	-93.8526
5	18	-93.9865
5	19	-94.1259
5	20	-94.2701
5	21	-94.4184
5	22	-94.57
5	23	-94.7245
5	24	-94.8811
5	25	-95.0394
5	26	-95.199
5	27	-95.3594
5	28	-95.5201
5	29	-95.681
5	30	-95.8418
5	31	-96.0021
5	32	-96.1617
5	33	-96.3205
6	0	-115.334
6	1	-115.19
6	2	-115.077
6	3	-114.994
6	4	-114.945
6	5	-114.928
6	6	-114.945
6	7	-114.994
6	8	-115.077
6	9	-115.19
6	10	-115.334
6	11	-115.506
6	12	-92.9993
6	13	-93.1005
6	14	-93.2121
6	15	-93.333
6	16	-93.4622
6	17	-93.5988
6	18	-93.7419
6	19	-93.8905
6	20	-94.0439
