0	0	-115.381	0
0	1	-114.878	0
0	2	-114.378	0
0	3	-113.884	0
0	4	-113.399	0
0	5	-91.7435	1
0	6	-91.5372	1
0	7	-91.3402	1
0	8	-91.1548	1
0	9	-90.9832	1
0	10	-90.8279	1
0	11	-90.6913	1
0	12	-90.5757	1
0	13	-90.4833	1
0	14	-90.4158	1
0	15	-90.3748	1
1	0	-114.878	0
1	1	-114.343	0
1	2	-113.808	0
1	3	-91.9025	1
1	4	-91.6662	1
1	5	-91.4348	1
1	6	-91.2103	1
1	7	-90.9949	1
1	8	-90.7912	1
1	9	-90.6017	1
1	10	-90.4294	1
1	11	-90.2772	1
1	12	-90.1479	1
1	13	-90.0441	1
1	14	-89.9682	1
1	15	-89.922	1
2	0	-114.378	0
2	1	-113.808	0
2	2	-91.8842	1
2	3	-112.668	0
2	4	-91.372	1
2	5	-91.1211	1
2	6	-90.8764	1
2	7	-90.6404	1
2	8	-90.4158	1
2	9	-90.2059	1
2	10	-90.014	1
2	11	-89.8435	1
2	12	-89.6981	1
2	13	-89.581	1
2	14	-89.495	1
2	15	-89.4424	1
3	0	-113.884	0
3	1	-113.278	0
3	2	-91.627	1
3	3	-91.3508	1
3	4	-111.447	0
3	5	-90.8035	1
3	6	-90.5364	1
3	7	-90.2772	1
3	8	-90.0291	1
3	9	-89.7957	1
3	10	-89.581	1
3	11	-89.3892	1
3	12	-89.2246	1
3	13	-89.0914	1
3	14	-88.9934	1
3	15	-88.9332	1
4	0	-113.399	0
4	1	-112.755	0
4	2	-91.372	1
4	3	-91.0757	1
4	4	-90.7788	1
4	5	-90.4833	1
4	6	-90.1915	1
4	7	-89.9064	1
4	8	-89.6316	1
4	9	-89.3712	1
4	10	-89.13	1
4	11	-88.913	1
4	12	-88.7256	1
4	13	-88.5732	1
4	14	-88.4604	1
4	15	-88.391	1
5	0	-91.7435	1
5	1	-91.4348	1
5	2	-91.1211	1
5	3	-90.8035	1
5	4	-90.4833	1
5	5	-90.1625	1
5	6	-89.8435	1
5	7	-89.5296	1
5	8	-89.2246	1
5	9	-88.9332	1
5	10	-88.6611	1
5	11	-88.4143	1
5	12	-88.1995	1
5	13	-88.0236	1
5	14	-87.8927	1
5	15	-87.8119	1
6	0	-91.5372	1
6	1	-91.2103	1
6	2	-90.8764	1
6	3	-90.5364	1
6	4	-90.1915	1
6	5	-89.8435	1
6	6	-89.495	1
6	7	-89.1491	1
6	8	-88.8101	1
6	9	-88.4832	1
6	10	-88.1749	1
6	11	-87.8927	1
6	12	-87.6449	1
6	13	-87.4402	1
6	14	-87.2869	1
6	15	-87.1918	1
7	0	-91.3402	1
7	1	-90.9949	1
7	2	-90.6404	1
7	3	-90.2772	1
7	4	-89.9064	1
7	5	-89.5296	1
7	6	-89.1491	1
7	7	-88.7681	1
7	8	-88.391	1
7	9	-88.0236	1
7	10	-87.6733	1
7	11	-87.349	1
7	12	-87.0611	1
7	13	-86.8209	1
7	14	-86.6393	1
7	15	-86.5261	1
8	0	-91.1548	1
8	1	-90.7912	1
8	2	-90.4158	1
8	3	-90.0291	1
8	4	-89.6316	1
8	5	-89.2246	1
8	6	-88.8101	1
8	7	-88.391	1
8	8	-87.9718	1
8	9	-87.5586	1
8	10	-87.1595	1
8	11	-86.7852	1
8	12	-86.4486	1
8	13	-86.1642	1
8	14	-85.947	1
8	15	-85.8104	1
9	0	-90.9832	1
9	1	-90.6017	1
9	2	-90.2059	1
9	3	-89.7957	1
9	4	-89.3712	1
9	5	-88.9332	1
9	6	-88.4832	1
9	7	-88.0236	1
9	8	-87.5586	1
9	9	-87.0942	1
9	10	-86.6393	1
9	11	-86.2062	1
9	12	-85.8104	1
9	13	-85.4708	1
9	14	-85.208	1
9	15	-85.041	1
10	0	-90.8279	1
10	1	-90.4294	1
10	2	-90.014	1
10	3	-89.581	1
10	4	-89.13	1
10	5	-88.6611	1
10	6	-88.1749	1
10	7	-87.6733	1
10	8	-87.1595	1
10	9	-86.6393	1
10	10	-86.1217	1
10	11	-85.6201	1
10	12	-85.1532	1
10	13	-84.7451	1
10	14	-84.4238	1
10	15	-84.2169	1
11	0	-90.6913	1
11	1	-90.2772	1
11	2	-89.8435	1
11	3	-89.3892	1
11	4	-88.913	1
11	5	-88.4143	1
11	6	-87.8927	1
11	7	-87.349	1
11	8	-86.7852	1
11	9	-86.2062	1
11	10	-85.6201	1
11	11	-85.041	1
11	12	-84.4903	1
11	13	-83.9981	1
11	14	-83.6022	1
11	15	-83.3431	1
12	0	-90.5757	1
12	1	-90.1479	1
12	2	-89.6981	1
12	3	-89.2246	1
12	4	-88.7256	1
12	5	-88.1995	1
12	6	-87.6449	1
12	7	-87.0611	1
12	8	-86.4486	1
12	9	-85.8104	1
12	10	-85.1532	1
12	11	-84.4903	1
12	12	-83.8447	1
12	13	-83.2525	1
12	14	-82.764	1
12	15	-82.4371	1
13	0	-90.4833	1
13	1	-90.0441	1
13	2	-89.581	1
13	3	-89.0914	1
13	4	-88.5732	1
13	5	-88.0236	1
13	6	-87.4402	1
13	7	-86.8209	1
13	8	-86.1642	1
13	9	-85.4708	1
13	10	-84.7451	1
13	11	-83.9981	1
13	12	-83.2525	1
13	13	-82.5493	1
13	14	-81.9517	1
13	15	-81.5415	1
14	0	-90.4158	1
14	1	-89.9682	1
14	2	-89.495	1
14	3	-88.9934	1
14	4	-88.4604	1
14	5	-87.8927	1
14	6	-87.2869	1
14	7	-86.6393	1
14	8	-85.947	1
14	9	-85.208	1
14	10	-84.4238	1
14	11	-83.6022	1
14	12	-82.764	1
14	13	-81.9517	1
14	14	-81.2408	1
14	15	-80.7392	1
15	0	-90.3748	1
15	1	-89.922	1
15	2	-89.4424	1
15	3	-88.9332	1
15	4	-88.391	1
15	5	-87.8119	1
15	6	-87.1918	1
15	7	-86.5261	1
15	8	-85.8104	1
15	9	-85.041	1
15	10	-84.2169	1
15	11	-83.3431	1
15	12	-82.4371	1
15	13	-81.5415	1
15	14	-80.7392	1
15	15	-80.1601	1
